Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
Total,1999,1999,25-34 years,25-34,,,,,41066,40178406
,1999,1999,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,382,226197
,1999,1999,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,589,998099
,1999,1999,35-44 years,35-44,Female,F,Black or African American,2054-5,8474,3032529
,1999,1999,35-44 years,35-44,Female,F,White,2106-3,22693,18412779
Total,1999,1999,35-44 years,35-44,Female,F,,,32138,22669604
,1999,1999,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,645,217567
,1999,1999,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,992,916962
,1999,1999,35-44 years,35-44,Male,M,Black or African American,2054-5,12567,2678409
,1999,1999,35-44 years,35-44,Male,M,White,2106-3,42914,18594135
Total,1999,1999,35-44 years,35-44,Male,M,,,57118,22407073
Total,1999,1999,35-44 years,35-44,,,,,89256,45076677
,1999,1999,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,483,161677
,1999,1999,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1268,771227
,1999,1999,45-54 years,45-54,Female,F,Black or African American,2054-5,12461,2186930
,1999,1999,45-54 years,45-54,Female,F,White,2106-3,43103,15512471
Total,1999,1999,45-54 years,45-54,Female,F,,,57315,18632305
,1999,1999,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,845,152317
,1999,1999,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,1608,669827
,1999,1999,45-54 years,45-54,Male,M,Black or African American,2054-5,19298,1872376
,1999,1999,45-54 years,45-54,Male,M,White,2106-3,73908,15250994
Total,1999,1999,45-54 years,45-54,Male,M,,,95659,17945514
Total,1999,1999,45-54 years,45-54,,,,,152974,36577819
,1999,1999,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,754,88470
,1999,1999,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,1749,427944
,1999,1999,55-64 years,55-64,Female,F,Black or African American,2054-5,16707,1323143
,1999,1999,55-64 years,55-64,Female,F,White,2106-3,77045,10539206
Total,1999,1999,55-64 years,55-64,Female,F,,,96255,12378763
,1999,1999,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,920,81968
,1999,1999,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,2498,377930
,1999,1999,55-64 years,55-64,Male,M,Black or African American,2054-5,22769,1061216
,1999,1999,55-64 years,55-64,Male,M,White,2106-3,116537,9878149
Total,1999,1999,55-64 years,55-64,Male,M,,,142724,11399263
Total,1999,1999,55-64 years,55-64,,,,,238979,23778026
,1999,1999,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1016,50401
,1999,1999,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3141,293330
,1999,1999,65-74 years,65-74,Female,F,Black or African American,2054-5,26528,964120
,1999,1999,65-74 years,65-74,Female,F,White,2106-3,166995,8817573
Total,1999,1999,65-74 years,65-74,Female,F,,,197680,10125424
,1999,1999,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1148,41203
,1999,1999,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,3736,221124
,1999,1999,65-74 years,65-74,Male,M,Black or African American,2054-5,29594,679960
,1999,1999,65-74 years,65-74,Male,M,White,2106-3,220442,7351198
Total,1999,1999,65-74 years,65-74,Male,M,,,254920,8293485
Total,1999,1999,65-74 years,65-74,,,,,452600,18418909
,1999,1999,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1077,25243
,1999,1999,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,4142,141327
,1999,1999,75-84 years,75-84,Female,F,Black or African American,2054-5,33362,580981
,1999,1999,75-84 years,75-84,Female,F,White,2106-3,319039,6663647
Total,1999,1999,75-84 years,75-84,Female,F,,,357620,7411198
,1999,1999,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,987,16030
,1999,1999,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,4694,105317
,1999,1999,75-84 years,75-84,Male,M,Black or African American,2054-5,27839,325255
,1999,1999,75-84 years,75-84,Male,M,White,2106-3,307450,4367114
Total,1999,1999,75-84 years,75-84,Male,M,,,340970,4813716
Total,1999,1999,75-84 years,75-84,,,,,698590,12224914
,1999,1999,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,890,8365
,1999,1999,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,3406,37319
,1999,1999,85+ years,85+,Female,F,Black or African American,2054-5,31517,228287
,1999,1999,85+ years,85+,Female,F,White,2106-3,400339,2686737
Total,1999,1999,85+ years,85+,Female,F,,,436152,2960708
,1999,1999,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,449,3815
,1999,1999,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,3162,24834
,1999,1999,85+ years,85+,Male,M,Black or African American,2054-5,14768,85342
,1999,1999,85+ years,85+,Male,M,White,2106-3,191610,1079319
Total,1999,1999,85+ years,85+,Male,M,,,209989,1193310
Total,1999,1999,85+ years,85+,,,,,646141,4154018
,1999,1999,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,2,Not Applicable
,1999,1999,Not Stated,NS,Female,F,Black or African American,2054-5,19,Not Applicable
,1999,1999,Not Stated,NS,Female,F,White,2106-3,58,Not Applicable
Total,1999,1999,Not Stated,NS,Female,F,,,79,Not Applicable
,1999,1999,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,1,Not Applicable
,1999,1999,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,5,Not Applicable
,1999,1999,Not Stated,NS,Male,M,Black or African American,2054-5,58,Not Applicable
,1999,1999,Not Stated,NS,Male,M,White,2106-3,213,Not Applicable
Total,1999,1999,Not Stated,NS,Male,M,,,277,Not Applicable
Total,1999,1999,Not Stated,NS,,,,,356,Not Applicable
Total,1999,1999,,,,,,,2391399,279040168
,2000,2000,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,130,26410
,2000,2000,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,350,80588
,2000,2000,< 1 year,1,Female,F,Black or African American,2054-5,3870,302401
,2000,2000,< 1 year,1,Female,F,White,2106-3,7967,1447232
Total,2000,2000,< 1 year,1,Female,F,,,12317,1856631
,2000,2000,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,193,27564
,2000,2000,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,447,84431
,2000,2000,< 1 year,1,Male,M,Black or African American,2054-5,4901,312650
,2000,2000,< 1 year,1,Male,M,White,2106-3,10177,1524372
Total,2000,2000,< 1 year,1,Male,M,,,15718,1949017
Total,2000,2000,< 1 year,1,,,,,28035,3805648
,2000,2000,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,42,105634
,2000,2000,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,67,335780
,2000,2000,1-4 years,4-Jan,Female,F,Black or African American,2054-5,556,1228210
,2000,2000,1-4 years,4-Jan,Female,F,White,2106-3,1490,5838810
Total,2000,2000,1-4 years,4-Jan,Female,F,,,2155,7508434
,2000,2000,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,49,109226
,2000,2000,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,79,339291
,2000,2000,1-4 years,4-Jan,Male,M,Black or African American,2054-5,692,1270615
,2000,2000,1-4 years,4-Jan,Male,M,White,2106-3,2004,6142584
Total,2000,2000,1-4 years,4-Jan,Male,M,,,2824,7861716
Total,2000,2000,1-4 years,4-Jan,,,,,4979,15370150
,2000,2000,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,52,293082
,2000,2000,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,96,817308
,2000,2000,5-14 years,14-May,Female,F,Black or African American,2054-5,669,3348206
,2000,2000,5-14 years,14-May,Female,F,White,2106-3,2195,15575507
Total,2000,2000,5-14 years,14-May,Female,F,,,3012,20034103
,2000,2000,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,61,301275
,2000,2000,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,111,861081
,2000,2000,5-14 years,14-May,Male,M,Black or African American,2054-5,974,3453587
,2000,2000,5-14 years,14-May,Male,M,White,2106-3,3255,16427531
Total,2000,2000,5-14 years,14-May,Male,M,,,4401,21043474
Total,2000,2000,5-14 years,14-May,,,,,7413,41077577
,2000,2000,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,150,254478
,2000,2000,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,205,913824
,2000,2000,15-24 years,15-24,Female,F,Black or African American,2054-5,1731,2970776
,2000,2000,15-24 years,15-24,Female,F,White,2106-3,6150,14965995
Total,2000,2000,15-24 years,15-24,Female,F,,,8236,19105073
,2000,2000,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,369,271006
,2000,2000,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,516,933972
,2000,2000,15-24 years,15-24,Male,M,Black or African American,2054-5,5318,2932161
,2000,2000,15-24 years,15-24,Male,M,White,2106-3,16868,15941679
Total,2000,2000,15-24 years,15-24,Male,M,,,23071,20078818
Total,2000,2000,15-24 years,15-24,,,,,31307,39183891
,2000,2000,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,186,219400
,2000,2000,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,307,1112350
,2000,2000,25-34 years,25-34,Female,F,Black or African American,2054-5,3489,2865609
,2000,2000,25-34 years,25-34,Female,F,White,2106-3,8579,15573836
Total,2000,2000,25-34 years,25-34,Female,F,,,12561,19771195
,2000,2000,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,410,228931
,2000,2000,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,590,1073226
,2000,2000,25-34 years,25-34,Male,M,Black or African American,2054-5,6750,2585890
,2000,2000,25-34 years,25-34,Male,M,White,2106-3,20140,16232482
Total,2000,2000,25-34 years,25-34,Male,M,,,27890,20120529
Total,2000,2000,25-34 years,25-34,,,,,40451,39891724
,2000,2000,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,406,236235
,2000,2000,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,671,1023585
,2000,2000,35-44 years,35-44,Female,F,Black or African American,2054-5,8306,3054629
,2000,2000,35-44 years,35-44,Female,F,White,2106-3,23118,18386280
Total,2000,2000,35-44 years,35-44,Female,F,,,32501,22700729
,2000,2000,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,675,228645
,2000,2000,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,993,946574
,2000,2000,35-44 years,35-44,Male,M,Black or African American,2054-5,12251,2704687
,2000,2000,35-44 years,35-44,Male,M,White,2106-3,43378,18567892
Total,2000,2000,35-44 years,35-44,Male,M,,,57297,22447798
Total,2000,2000,35-44 years,35-44,,,,,89798,45148527
,2000,2000,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,496,174095
,2000,2000,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1263,812125
,2000,2000,45-54 years,45-54,Female,F,Black or African American,2054-5,13376,2273678
,2000,2000,45-54 years,45-54,Female,F,White,2106-3,44808,15920824
Total,2000,2000,45-54 years,45-54,Female,F,,,59943,19180722
,2000,2000,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,858,164986
,2000,2000,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,1761,705369
,2000,2000,45-54 years,45-54,Male,M,Black or African American,2054-5,19913,1956747
,2000,2000,45-54 years,45-54,Male,M,White,2106-3,77866,15670128
Total,2000,2000,45-54 years,45-54,Male,M,,,100398,18497230
Total,2000,2000,45-54 years,45-54,,,,,160341,37677952
,2000,2000,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,734,95067
,2000,2000,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,1761,450542
,2000,2000,55-64 years,55-64,Female,F,Black or African American,2054-5,16603,1352876
,2000,2000,55-64 years,55-64,Female,F,White,2106-3,78427,10730843
Total,2000,2000,55-64 years,55-64,Female,F,,,97525,12629328
,2000,2000,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,964,88410
,2000,2000,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,2565,399287
,2000,2000,55-64 years,55-64,Male,M,Black or African American,2054-5,22678,1090261
,2000,2000,55-64 years,55-64,Male,M,White,2106-3,117114,10067398
Total,2000,2000,55-64 years,55-64,Male,M,,,143321,11645356
Total,2000,2000,55-64 years,55-64,,,,,240846,24274684
,2000,2000,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1028,54111
,2000,2000,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3042,305302
,2000,2000,65-74 years,65-74,Female,F,Black or African American,2054-5,26124,971291
,2000,2000,65-74 years,65-74,Female,F,White,2106-3,163607,8757008
Total,2000,2000,65-74 years,65-74,Female,F,,,193801,10087712
,2000,2000,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1113,44910
,2000,2000,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,3845,231487
,2000,2000,65-74 years,65-74,Male,M,Black or African American,2054-5,29071,683457
,2000,2000,65-74 years,65-74,Male,M,White,2106-3,213379,7343420
Total,2000,2000,65-74 years,65-74,Male,M,,,247408,8303274
Total,2000,2000,65-74 years,65-74,,,,,441209,18390986
,2000,2000,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1073,27870
,2000,2000,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,4376,151818
,2000,2000,75-84 years,75-84,Female,F,Black or African American,2054-5,33418,586642
,2000,2000,75-84 years,75-84,Female,F,White,2106-3,321359,6715497
Total,2000,2000,75-84 years,75-84,Female,F,,,360226,7481827
,2000,2000,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,989,18482
,2000,2000,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,4834,111687
,2000,2000,75-84 years,75-84,Male,M,Black or African American,2054-5,28026,330261
,2000,2000,75-84 years,75-84,Male,M,White,2106-3,306370,4418923
Total,2000,2000,75-84 years,75-84,Male,M,,,340219,4879353
Total,2000,2000,75-84 years,75-84,,,,,700445,12361180
,2000,2000,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,881,9662
,2000,2000,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,3718,41073
,2000,2000,85+ years,85+,Female,F,Black or African American,2054-5,32478,232962
,2000,2000,85+ years,85+,Female,F,White,2106-3,406352,2728892
Total,2000,2000,85+ years,85+,Female,F,,,443429,3012589
,2000,2000,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,501,4671
,2000,2000,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,3272,26985
,2000,2000,85+ years,85+,Male,M,Black or African American,2054-5,14560,86713
,2000,2000,85+ years,85+,Male,M,White,2106-3,196409,1108629
Total,2000,2000,85+ years,85+,Male,M,,,214742,1226998
Total,2000,2000,85+ years,85+,,,,,658171,4239587
,2000,2000,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2000,2000,Not Stated,NS,Female,F,Black or African American,2054-5,22,Not Applicable
,2000,2000,Not Stated,NS,Female,F,White,2106-3,44,Not Applicable
Total,2000,2000,Not Stated,NS,Female,F,,,67,Not Applicable
,2000,2000,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,3,Not Applicable
,2000,2000,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,5,Not Applicable
,2000,2000,Not Stated,NS,Male,M,Black or African American,2054-5,50,Not Applicable
,2000,2000,Not Stated,NS,Male,M,White,2106-3,231,Not Applicable
Total,2000,2000,Not Stated,NS,Male,M,,,289,Not Applicable
Total,2000,2000,Not Stated,NS,,,,,356,Not Applicable
Total,2000,2000,,,,,,,2403351,281421906
,2001,2001,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,162,28400
,2001,2001,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,339,93860
,2001,2001,< 1 year,1,Female,F,Black or African American,2054-5,3734,316708
,2001,2001,< 1 year,1,Female,F,White,2106-3,7856,1523937
Total,2001,2001,< 1 year,1,Female,F,,,12091,1962905
,2001,2001,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,211,29088
,2001,2001,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,403,98825
,2001,2001,< 1 year,1,Male,M,Black or African American,2054-5,4764,326628
,2001,2001,< 1 year,1,Male,M,White,2106-3,10099,1595212
Total,2001,2001,< 1 year,1,Male,M,,,15477,2049753
Total,2001,2001,< 1 year,1,,,,,27568,4012658
,2001,2001,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,51,106459
,2001,2001,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,72,345682
,2001,2001,1-4 years,4-Jan,Female,F,Black or African American,2054-5,509,1217652
,2001,2001,1-4 years,4-Jan,Female,F,White,2106-3,1576,5798743
Total,2001,2001,1-4 years,4-Jan,Female,F,,,2208,7468536
,2001,2001,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,52,110252
,2001,2001,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,81,350044
,2001,2001,1-4 years,4-Jan,Male,M,Black or African American,2054-5,672,1259030
,2001,2001,1-4 years,4-Jan,Male,M,White,2106-3,2094,6097697
Total,2001,2001,1-4 years,4-Jan,Male,M,,,2899,7817023
Total,2001,2001,1-4 years,4-Jan,,,,,5107,15285559
,2001,2001,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,54,297817
,2001,2001,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,90,852353
,2001,2001,5-14 years,14-May,Female,F,Black or African American,2054-5,627,3372597
,2001,2001,5-14 years,14-May,Female,F,White,2106-3,2156,15553000
Total,2001,2001,5-14 years,14-May,Female,F,,,2927,20075767
,2001,2001,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,75,305827
,2001,2001,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,119,892098
,2001,2001,5-14 years,14-May,Male,M,Black or African American,2054-5,960,3479721
,2001,2001,5-14 years,14-May,Male,M,White,2106-3,3014,16398627
Total,2001,2001,5-14 years,14-May,Male,M,,,4168,21076273
Total,2001,2001,5-14 years,14-May,,,,,7095,41152040
,2001,2001,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,157,269351
,2001,2001,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,245,959854
,2001,2001,15-24 years,15-24,Female,F,Black or African American,2054-5,1668,3053695
,2001,2001,15-24 years,15-24,Female,F,White,2106-3,6219,15302947
Total,2001,2001,15-24 years,15-24,Female,F,,,8289,19585847
,2001,2001,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,400,289858
,2001,2001,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,555,981454
,2001,2001,15-24 years,15-24,Male,M,Black or African American,2054-5,5479,3042172
,2001,2001,15-24 years,15-24,Male,M,White,2106-3,17529,16314239
Total,2001,2001,15-24 years,15-24,Male,M,,,23963,20627723
Total,2001,2001,15-24 years,15-24,,,,,32252,40213570
,2001,2001,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,179,224905
,2001,2001,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,376,1180262
,2001,2001,25-34 years,25-34,Female,F,Black or African American,2054-5,3355,2839415
,2001,2001,25-34 years,25-34,Female,F,White,2106-3,9016,15322461
Total,2001,2001,25-34 years,25-34,Female,F,,,12926,19567043
,2001,2001,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,417,233768
,2001,2001,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,689,1131666
,2001,2001,25-34 years,25-34,Male,M,Black or African American,2054-5,6673,2551071
,2001,2001,25-34 years,25-34,Male,M,White,2106-3,20978,15987974
Total,2001,2001,25-34 years,25-34,Male,M,,,28757,19904479
Total,2001,2001,25-34 years,25-34,,,,,41683,39471522
,2001,2001,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,410,242881
,2001,2001,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,654,1066292
,2001,2001,35-44 years,35-44,Female,F,Black or African American,2054-5,8552,3082622
,2001,2001,35-44 years,35-44,Female,F,White,2106-3,23894,18250634
Total,2001,2001,35-44 years,35-44,Female,F,,,33510,22642429
,2001,2001,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,722,234947
,2001,2001,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1064,988183
,2001,2001,35-44 years,35-44,Male,M,Black or African American,2054-5,12135,2732274
,2001,2001,35-44 years,35-44,Male,M,White,2106-3,44243,18453919
Total,2001,2001,35-44 years,35-44,Male,M,,,58164,22409323
Total,2001,2001,35-44 years,35-44,,,,,91674,45051752
,2001,2001,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,619,186923
,2001,2001,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1378,876602
,2001,2001,45-54 years,45-54,Female,F,Black or African American,2054-5,13924,2412950
,2001,2001,45-54 years,45-54,Female,F,White,2106-3,47296,16570606
Total,2001,2001,45-54 years,45-54,Female,F,,,63217,20047081
,2001,2001,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,940,176889
,2001,2001,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,1911,758464
,2001,2001,45-54 years,45-54,Male,M,Black or African American,2054-5,20594,2085053
,2001,2001,45-54 years,45-54,Male,M,White,2106-3,81403,16318781
Total,2001,2001,45-54 years,45-54,Male,M,,,104848,19339187
Total,2001,2001,45-54 years,45-54,,,,,168065,39386268
,2001,2001,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,764,100322
,2001,2001,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,1846,489254
,2001,2001,55-64 years,55-64,Female,F,Black or African American,2054-5,17071,1398159
,2001,2001,55-64 years,55-64,Female,F,White,2106-3,79500,11055831
Total,2001,2001,55-64 years,55-64,Female,F,,,99181,13043566
,2001,2001,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1004,93588
,2001,2001,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,2696,431768
,2001,2001,55-64 years,55-64,Male,M,Black or African American,2054-5,22905,1132096
,2001,2001,55-64 years,55-64,Male,M,White,2106-3,118353,10404277
Total,2001,2001,55-64 years,55-64,Male,M,,,144958,12061729
Total,2001,2001,55-64 years,55-64,,,,,244139,25105295
,2001,2001,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1041,56433
,2001,2001,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3399,322728
,2001,2001,65-74 years,65-74,Female,F,Black or African American,2054-5,25604,986576
,2001,2001,65-74 years,65-74,Female,F,White,2106-3,159335,8677389
Total,2001,2001,65-74 years,65-74,Female,F,,,189379,10043126
,2001,2001,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1165,47104
,2001,2001,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,3848,247633
,2001,2001,65-74 years,65-74,Male,M,Black or African American,2054-5,28775,701092
